Name;Category;Inventory result;Unit;Impact factor;Unit;Impact result;Unit;Meal
Ecotoxicity, freshwater - inorganics;;;;;;22.20454;CTUe;Pasta
Eutrophication, freshwater;;;;;;0.00232;kg P eq;Pasta
Human toxicity, cancer - metals;;;;;;6.61908E-9;CTUh;Pasta
Climate change;;;;;;16.62409;kg CO2 eq;Pasta
Ionising radiation;;;;;;1.27361;kBq U-235 eq;Pasta
Human toxicity, cancer - inorganics;;;;;;0.00000;CTUh;Pasta
Photochemical ozone formation;;;;;;0.03735;kg NMVOC eq;Pasta
Ecotoxicity, freshwater - metals;;;;;;124.48013;CTUe;Pasta
Resource use, minerals and metals;;;;;;2.29715E-5;kg Sb eq;Pasta
Ozone depletion;;;;;;7.01419E-7;kg CFC11 eq;Pasta
Human toxicity, cancer;;;;;;9.35451E-9;CTUh;Pasta
Water use;;;;;;34.37299;m3 depriv.;Pasta
Human toxicity, cancer - organics;;;;;;2.73543E-9;CTUh;Pasta
Human toxicity, non-cancer - organics;;;;;;2.32222E-8;CTUh;Pasta
Ecotoxicity, freshwater;;;;;;193.16488;CTUe;Pasta
Eutrophication, terrestrial;;;;;;0.77619;mol N eq;Pasta
Human toxicity, non-cancer - metals;;;;;;2.94686E-7;CTUh;Pasta
Particulate matter;;;;;;1.27275E-6;disease inc.;Pasta
Land use;;;;;;991.65727;Pt;Pasta
Ecotoxicity, freshwater - organics;;;;;;46.71215;CTUe;Pasta
Acidification;;;;;;0.18257;mol H+ eq;Pasta
Climate change - Fossil;;;;;;6.32863;kg CO2 eq;Pasta
Climate change - Land use and LU change;;;;;;1.87642;kg CO2 eq;Pasta
Climate change - Biogenic;;;;;;8.41904;kg CO2 eq;Pasta
Human toxicity, non-cancer;;;;;;7.29258E-8;CTUh;Paella
Human toxicity, non-cancer - inorganics;;;;;;8.05693E-9;CTUh;Paella
Resource use, fossils;;;;;;33.95224;MJ;Paella
Eutrophication, marine;;;;;;0.01612;kg N eq;Paella
Ecotoxicity, freshwater - inorganics;;;;;;6.56399;CTUe;Paella
Eutrophication, freshwater;;;;;;0.00043;kg P eq;Paella
Human toxicity, cancer - metals;;;;;;1.06718E-9;CTUh;Paella
Climate change;;;;;;2.43402;kg CO2 eq;Paella
Ionising radiation;;;;;;0.67633;kBq U-235 eq;Paella
Human toxicity, cancer - inorganics;;;;;;0.00000;CTUh;Paella
Photochemical ozone formation;;;;;;0.02432;kg NMVOC eq;Paella
Ecotoxicity, freshwater - metals;;;;;;37.49059;CTUe;Paella
Resource use, minerals and metals;;;;;;4.49401E-6;kg Sb eq;Paella
Ozone depletion;;;;;;3.65175E-7;kg CFC11 eq;Paella
Human toxicity, cancer;;;;;;1.89882E-9;CTUh;Paella
Water use;;;;;;4.39768;m3 depriv.;Paella
Human toxicity, cancer - organics;;;;;;8.31638E-10;CTUh;Paella
Human toxicity, non-cancer - organics;;;;;;2.81381E-9;CTUh;Paella
Ecotoxicity, freshwater;;;;;;56.76530;CTUe;Paella
Eutrophication, terrestrial;;;;;;0.17368;mol N eq;Paella
Human toxicity, non-cancer - metals;;;;;;6.21652E-8;CTUh;Paella
Particulate matter;;;;;;3.58894E-7;disease inc.;Paella
Land use;;;;;;106.68870;Pt;Paella
